CustID,AccountID,Balance,Interest,Type
1000366,6394,1150.74,2,Funds
1000369,14871,3325.67,7,Funds
1000372,14022,833.78,7,Funds
1000373,11018,737.74,3,Funds
1000376,1802,3875.23,2,Funds
1000385,12232,3625.43,3,Funds
1000388,2216,3575.47,7,Funds
1000392,6227,1375.56,4,Funds
1000395,17717,958.68,7,Funds
1000397,19352,2975.95,6,Funds
1000398,5842,2751.13,1,Funds
1000399,13803,942.02,3,Funds
1000407,13444,2801.09,1,Funds
1000408,8337,843.91,7,Funds
1000413,11902,3175.79,5,Funds
1000415,5835,917.04,3,Funds
1000422,3478,2851.05,1,Funds
1000427,15999,3125.83,3,Funds
1000428,10275,3200.77,7,Funds
1000434,3553,3300.69,4,Funds
1000438,8983,0,2,Funds
1000445,19679,817.12,3,Funds
1000446,15235,3375.63,4,Funds
1000448,23960,1150.19,2,Funds
1000456,15124,1325.6,2,Funds
1000465,20455,3275.71,7,Funds
1000466,22394,0,6,Funds
1000474,9933,2950.97,7,Funds
1000476,10793,768.97,4,Funds
1000479,12621,706.52,1,Funds
1000484,8004,3600.45,1,Funds
1000489,14561,3325.67,1,Funds
1000492,9226,1166.84,2,Funds
1000496,11744,900.39,7,Funds
1000496,21389,900.39,3,Funds
1000497,1197,933.7,3,Funds
1000497,13943,933.7,1,Funds
1000497,17575,933.7,7,Funds
1000499,15043,2626.23,5,Funds
1000503,12899,1200.15,5,Funds
1000503,13614,1200.15,2,Funds
1000503,19125,1200.15,4,Funds
1000506,6585,3200.77,6,Funds
1000508,16170,1787.74,3,Funds
1000511,7059,1450.5,7,Funds
1000513,19607,3550.49,3,Funds
1000514,22798,2651.21,3,Funds
1000524,23525,1637.85,2,Funds
1000525,13516,644.07,2,Funds
1000527,12668,1025.29,4,Funds
1000534,16343,3125.83,2,Funds
1000535,21252,1612.87,6,Funds
1000539,14721,3275.71,6,Funds
1000541,22411,1812.72,4,Funds
1000546,3706,3125.83,6,Funds
1000549,22025,768.97,4,Funds
1000554,5405,1550.42,7,Funds
1000557,8276,2975.95,2,Funds
1000558,6453,3375.63,4,Funds
1000561,18813,1750.27,3,Funds
1000566,14777,1612.87,3,Funds
1000571,1858,1338.09,3,Funds
1000571,5285,1338.09,7,Funds
1000573,14470,1075.25,5,Funds
1000573,18404,1075.25,4,Funds
1000574,19355,1850.19,6,Funds
1000581,4178,1537.93,1,Funds
1000583,7599,2901.01,1,Funds
1000584,10721,2626.23,6,Funds
1000586,19865,2226.54,2,Funds
1000589,10915,1812.72,2,Funds
1000594,21510,850.43,5,Funds
1000595,22956,1375.56,2,Funds
1000596,13418,3150.81,7,Funds
1000599,16519,3025.91,5,Funds
1000604,17506,1675.32,6,Funds
1000607,5567,2925.99,7,Funds
1000618,4440,1587.89,1,Funds
1000623,9527,1550.42,5,Funds
1000642,18426,1700.31,7,Funds
1000643,863,2226.54,3,Funds
1000644,3602,3025.91,1,Funds
1000649,15731,1537.93,2,Funds
1000650,9099,3800.29,6,Funds
1000652,17864,933.7,7,Funds
1000654,13134,825.45,1,Funds
1000654,20506,825.45,7,Funds
1000663,21821,1737.78,7,Funds
1000664,17976,750.51,7,Funds
1000664,20108,750.51,3,Funds
1000665,8969,3475.55,5,Funds
1000666,12063,793.95,3,Funds
1000666,23957,793.95,3,Funds
1000677,15973,2676.19,3,Funds
1000679,11089,1762.76,1,Funds
1000680,12554,1500.46,6,Funds
1000684,22926,3250.73,3,Funds
1000697,10879,3550.49,4,Funds
1000699,21780,2925.99,3,Funds
1000703,2675,900.39,1,Funds
1000703,17444,900.39,6,Funds
1000706,12538,1712.8,5,Funds
1000708,9491,1108.56,5,Funds
1000723,9692,3100.85,3,Funds
1000728,14922,3025.91,2,Funds
1000732,5503,875.41,2,Funds
1000735,5472,1762.76,2,Funds
1000741,11580,1650.34,5,Funds
1000745,14164,856.4,2,Funds
1000751,22613,2251.52,6,Funds
1000761,15187,3375.63,1,Funds
1000768,15635,1525.44,7,Funds
1000769,4859,750.51,3,Funds
1000770,22180,3325.67,5,Funds
1000776,20106,2326.46,1,Funds
1000777,1032,1575.4,7,Funds
1000779,8136,2751.13,5,Funds
1000785,2113,1625.36,3,Funds
1000787,16891,2276.5,5,Funds
1000791,21895,3825.27,2,Funds
1000793,14319,2925.99,1,Funds
1000800,19315,2726.15,1,Funds
1000803,11676,967,3,Funds
1000804,13298,3425.59,6,Funds
1000808,23863,943.83,6,Funds
1000811,14826,1450.5,4,Funds
1000819,11151,1041.94,3,Funds
1000826,8895,2301.48,1,Funds
1000832,18755,2601.25,7,Funds
1000836,3180,2576.27,4,Funds
1000837,18132,733.85,6,Funds
1000838,6127,933.7,6,Funds
1000841,20841,1650.34,7,Funds
1000842,20123,1587.89,7,Funds
1000843,2846,1125.76,2,Funds
1000845,13121,1008.64,4,Funds
1000845,15186,1008.64,7,Funds
1000850,20211,3600.45,2,Funds
1000855,3715,3400.61,4,Funds
1000865,18728,2726.15,6,Funds
1000871,17615,3200.77,2,Funds
1000872,14183,3175.79,3,Funds
1000873,7685,1462.99,1,Funds
1000875,18470,3125.83,1,Funds
1000883,6471,0,2,Funds
1000885,11127,1188.21,6,Funds
1000886,8440,2576.27,5,Funds
1000893,5871,812.68,2,Funds
1000896,24047,3125.83,7,Funds
1000901,20954,1150.19,6,Funds
1000908,10235,4649.62,2,Funds
1000913,5233,881.38,6,Funds
1000916,23581,867.08,2,Funds
1000917,14984,2851.05,2,Funds
1000920,16591,1388.05,2,Funds
1000925,13210,806.44,7,Funds
1000930,2052,3500.53,2,Funds
1000932,13656,0,6,Funds
1000934,8069,650.31,2,Funds
1000939,18476,1562.91,4,Funds
1000944,21354,1150.19,1,Funds
1000944,21934,1150.19,7,Funds
1000944,22317,1150.19,5,Funds
1000949,13494,1525.44,4,Funds
1000952,14487,1325.6,6,Funds
1000953,6394,3550.49,2,Funds
1000955,11637,1737.78,1,Funds
1000961,5088,1313.11,2,Funds
1000963,4391,1925.13,7,Funds
1000966,6934,1133.54,3,Funds
1000966,15149,1133.54,6,Funds
1000966,15288,1133.54,7,Funds
1000973,13760,1300.62,1,Funds
1000976,14022,2226.54,7,Funds
1000979,5135,3225.75,3,Funds
1000987,11018,2501.33,3,Funds
1000991,4884,1812.72,1,Funds
1000994,3529,1762.76,5,Funds
1000998,7135,706.52,7,Funds
1000998,14104,706.52,6,Funds
1000998,22374,706.52,7,Funds
1000999,12604,1462.99,5,Funds
1001000,1163,1637.85,6,Funds
1001005,1802,2676.19,2,Funds
1001011,22688,3075.87,4,Funds
1001013,6227,2551.29,4,Funds
1001015,21770,3400.61,2,Funds
1001019,22141,1083.58,2,Funds
1001020,23182,1288.13,6,Funds
1001024,10543,1450.5,3,Funds
1001025,17717,3250.73,7,Funds
1001027,1452,883.74,5,Funds
1001032,792,0,6,Funds
1001034,3413,1737.78,7,Funds
1001036,9751,3500.53,4,Funds
1001038,6933,1233.46,1,Funds
1001041,5842,2526.31,1,Funds
1001047,3221,3750.33,4,Funds
1001051,3716,2251.52,4,Funds
1001053,1889,1150.74,2,Funds
1001053,9983,1150.74,4,Funds
1001054,13803,3175.79,3,Funds
1001064,13550,1525.44,2,Funds
1001065,19861,1750.27,4,Funds
1001067,323,883.74,3,Funds
1001072,14128,858.76,6,Funds
1001074,8337,3550.49,7,Funds
1001076,10178,767.16,5,Funds
1001079,17707,656.56,7,Funds
1001080,18113,2776.11,5,Funds
1001082,5220,3050.89,5,Funds
1001088,10367,1475.48,4,Funds
1001089,8908,1275.64,6,Funds
1001092,22214,1650.34,6,Funds
1001093,4928,1116.88,4,Funds
1001095,16645,1166.84,1,Funds
1001095,21515,1166.84,5,Funds
1001097,20096,858.76,7,Funds
1001098,4384,2626.23,3,Funds
1001100,11902,3075.87,5,Funds
1001102,10467,1462.99,4,Funds
1001104,11639,842.1,2,Funds
1001105,5835,3450.57,3,Funds
1001109,7938,1066.92,3,Funds
1001110,21708,750.23,4,Funds
1001116,10275,2576.27,7,Funds
1001118,15829,775.49,7,Funds
1001119,14445,1725.29,6,Funds
1001120,10276,2626.23,6,Funds
1001121,2837,675.29,1,Funds
1001123,24218,1700.31,7,Funds
1001126,17779,1500.46,4,Funds
1001130,18065,1150.19,7,Funds
1001132,2405,3750.33,7,Funds
1001134,13013,1775.25,1,Funds
1001134,21385,1775.25,2,Funds
1001135,13453,1158.52,1,Funds
1001141,7243,0,5,Funds
1001144,8983,3075.87,2,Funds
1001146,8957,1350.58,7,Funds
1001158,12882,1438.01,7,Funds
1001161,3819,1537.93,4,Funds
1001166,1638,1500.46,7,Funds
1001167,18932,1350.58,7,Funds
1001167,19511,1350.58,5,Funds
1001172,24204,892.06,5,Funds
1001173,2553,1350.58,3,Funds
1001176,6574,1737.78,7,Funds
1001182,4272,1562.91,6,Funds
1001183,19679,2601.25,3,Funds
1001193,23960,2701.17,2,Funds
1001203,8280,1150.19,4,Funds
1001203,9807,1150.19,3,Funds
1001203,22386,1150.19,5,Funds
1001204,23739,1141.86,4,Funds
1001206,15124,2975.95,2,Funds
1001208,1746,3050.89,3,Funds
1001211,23320,991.98,3,Funds
1001219,20681,1737.78,2,Funds
1001224,11522,1138.25,4,Funds
1001226,19504,1400.54,1,Funds
1001226,21557,1400.54,4,Funds
1001227,22394,3500.53,6,Funds
1001228,1930,1575.4,7,Funds
1001230,2443,581.62,7,Funds
1001231,10487,3175.79,2,Funds
1001235,10793,3000.93,4,Funds
1001239,6797,1625.36,2,Funds
1001239,12511,1625.36,4,Funds
1001242,16696,2801.09,3,Funds
1001254,15262,1550.42,3,Funds
1001255,22087,1438.01,4,Funds
1001256,5205,1562.91,3,Funds
1001256,24153,1562.91,4,Funds
1001258,17352,1108.56,4,Funds
1001260,19004,1083.58,6,Funds
1001261,12621,2601.25,1,Funds
1001265,1252,1091.9,1,Funds
1001265,18180,1091.9,2,Funds
1001265,19124,1091.9,1,Funds
1001266,7153,3075.87,5,Funds
1001269,24222,850.43,2,Funds
1001273,9226,2551.29,2,Funds
1001275,18209,1075.25,6,Funds
1001275,19939,1075.25,1,Funds
1001280,11744,2676.19,7,Funds
1001287,21389,3225.75,3,Funds
1001289,7861,775.49,3,Funds
1001289,13042,775.49,6,Funds
1001289,14725,775.49,1,Funds
1001291,1197,3400.61,3,Funds
1001293,13943,2601.25,1,Funds
1001295,17575,3050.89,7,Funds
1001296,23215,1600.38,2,Funds
1001297,20908,967,3,Funds
1001301,17477,958.68,4,Funds
1001302,4165,1113.27,7,Funds
1001303,23488,2626.23,4,Funds
1001304,12899,2801.09,5,Funds
1001306,13614,3100.85,2,Funds
1001307,6447,1250.66,2,Funds
1001308,19125,2975.95,4,Funds
1001309,6585,3475.55,6,Funds
1001311,17204,2626.23,1,Funds
1001315,16170,3075.87,3,Funds
1001321,7059,2651.21,7,Funds
1001322,23180,1033.62,1,Funds
1001332,4803,1033.62,4,Funds
1001333,19607,3550.49,3,Funds
1001334,7529,1313.11,7,Funds
1001338,2452,1325.6,7,Funds
1001341,8217,1288.13,3,Funds
1001341,22976,1288.13,4,Funds
1001344,23525,2975.95,2,Funds
1001346,8564,2901.01,3,Funds
1001348,23612,900.39,6,Funds
1001349,23201,1191.82,1,Funds
1001350,13516,2551.29,2,Funds
1001360,22277,1737.78,3,Funds
1001371,12668,2801.09,4,Funds
1001373,8163,1125.21,3,Funds
1001373,10126,1125.21,4,Funds
1001375,5556,1388.05,6,Funds
1001379,11667,3650.41,1,Funds
1001386,5562,842.1,1,Funds
1001387,19105,1275.64,3,Funds
1001393,21252,2376.43,6,Funds
1001394,15972,625.33,1,Funds
1001398,15103,833.78,5,Funds
1001398,21065,833.78,1,Funds
1001404,22411,2950.97,4,Funds
1001408,22016,1325.6,5,Funds
1001409,22025,3650.41,4,Funds
1001410,21739,1108.56,1,Funds
1001418,2472,1762.76,2,Funds
1001430,3050,1762.76,4,Funds
1001430,7357,1762.76,7,Funds
1001433,22599,1662.83,6,Funds
1001434,5405,3150.81,7,Funds
1001442,8276,3150.81,2,Funds
1001444,16136,1450.5,1,Funds
1001445,22731,1550.42,2,Funds
1001447,6453,2601.25,4,Funds
1001449,19200,1575.4,6,Funds
1001450,20165,1450.5,7,Funds
1001452,4612,1512.95,6,Funds
1001454,8083,1125.76,5,Funds
1001457,18813,2676.19,3,Funds
1001461,11722,619.09,3,Funds
1001464,14777,2201.56,3,Funds
1001466,1971,875.41,1,Funds
1001466,8917,875.41,7,Funds
1001469,1858,3100.85,3,Funds
1001470,5285,3300.69,7,Funds
1001472,9720,2601.25,6,Funds
1001474,8668,2251.52,1,Funds
1001476,15946,3075.87,5,Funds
1001482,15247,1750.27,2,Funds
1001495,10948,1537.93,1,Funds
1001495,19074,1537.93,7,Funds
1001500,3153,2925.99,1,Funds
1001501,6736,1737.78,6,Funds
1001502,14470,2301.48,5,Funds
1001503,4910,2601.25,5,Funds
1001506,18404,2476.35,4,Funds
1001507,7452,1487.97,7,Funds
1001509,19355,3150.81,6,Funds
1001514,3724,1750.27,6,Funds
1001522,13912,1313.11,1,Funds
1001525,9919,1025.29,4,Funds
1001531,15944,1075.25,2,Funds
1001532,23892,1108.56,4,Funds
1001533,4178,2776.11,1,Funds
1001534,1121,1250.66,7,Funds
1001537,2100,3500.53,3,Funds
1001538,7599,3325.67,1,Funds
1001542,1503,1537.93,7,Funds
1001548,10915,3275.71,2,Funds
1001550,4307,1175.17,1,Funds
1001555,3521,1662.83,2,Funds
1001555,9152,1662.83,7,Funds
1001557,4434,1166.84,5,Funds
1001558,3266,875.41,7,Funds
1001566,21510,3575.47,5,Funds
1001571,22956,3000.93,2,Funds
1001576,13418,3500.53,7,Funds
1001579,14338,3400.61,7,Funds
1001580,17506,3425.59,6,Funds
1001583,9961,1700.31,5,Funds
1001587,21180,958.68,3,Funds
1001588,19312,2925.99,5,Funds
1001592,22811,1537.93,2,Funds
1001593,500,1213.19,7,Funds
1001593,6335,1213.19,1,Funds
1001594,23316,875.41,6,Funds
1001596,16819,1587.89,4,Funds
1001596,21250,1587.89,7,Funds
1001600,928,1200.15,6,Funds
1001607,16276,1016.96,1,Funds
1001609,8360,1725.29,5,Funds
1001613,21158,1363.07,5,Funds
1001615,9597,1288.13,2,Funds
1001616,4440,3525.51,1,Funds
1001620,3697,1737.78,3,Funds
1001625,9527,3225.75,5,Funds
1001626,8860,1650.34,6,Funds
1001627,1820,867.08,3,Funds
1001627,6439,867.08,6,Funds
1001627,14152,867.08,4,Funds
1001631,14490,1750.27,2,Funds
1001635,21454,1550.42,7,Funds
1001641,18426,3075.87,7,Funds
1001642,9398,1050.27,3,Funds
1001646,7155,1712.8,4,Funds
1001646,20229,1712.8,5,Funds
1001647,7881,2301.48,7,Funds
1001651,7994,1662.83,1,Funds
1001653,15731,3175.79,2,Funds
1001655,17864,3025.91,7,Funds
1001656,19615,756.48,7,Funds
1001661,17689,1537.93,7,Funds
1001662,13134,3500.53,1,Funds
1001663,18370,1425.52,2,Funds
1001664,14526,2576.27,7,Funds
1001670,12136,1363.07,1,Funds
1001672,5002,3650.41,2,Funds
1001675,5182,1125.21,7,Funds
1001676,20506,2301.48,7,Funds
1001683,21821,2501.33,7,Funds
1001687,8958,1750.27,7,Funds
1001688,228,1313.11,2,Funds
1001689,23384,1438.01,4,Funds
1001691,17976,3300.69,7,Funds
1001693,20108,2851.05,3,Funds
1001699,12063,2776.11,3,Funds
1001700,4011,681.54,4,Funds
1001703,19613,1313.11,1,Funds
1001704,7741,892.06,1,Funds
1001704,19594,892.06,5,Funds
1001705,11743,1158.52,7,Funds
1001709,23957,2950.97,3,Funds
1001714,4455,3200.77,4,Funds
1001717,11089,2701.17,1,Funds
1001721,4347,868.89,2,Funds
1001725,2306,931.34,5,Funds
1001727,12554,3350.65,6,Funds
1001729,22926,3150.81,3,Funds
1001735,19713,2925.99,6,Funds
1001738,3182,1163.23,1,Funds
1001739,18903,2925.99,4,Funds
1001740,11136,1687.81,4,Funds
1001741,717,3500.53,7,Funds
1001745,6321,1263.15,7,Funds
1001747,21780,2526.31,3,Funds
1001752,2675,2950.97,1,Funds
1001753,20269,1141.86,7,Funds
1001759,5507,1375.56,5,Funds
1001764,17444,3275.71,6,Funds
1001766,11728,3150.81,7,Funds
1001769,15866,783.82,4,Funds
1001774,24071,1258.44,2,Funds
1001775,3543,1150.74,7,Funds
1001777,10318,883.74,5,Funds
1001777,21361,883.74,7,Funds
1001780,12538,3150.81,5,Funds
1001787,13153,3200.77,5,Funds
1001790,9491,3600.45,5,Funds
1001791,3836,793.95,4,Funds
1001796,10230,867.08,7,Funds
1001800,69,2876.03,3,Funds
1001802,5748,1700.31,1,Funds
1001807,20922,875.41,2,Funds
1001811,9519,1033.62,7,Funds
1001813,7041,1388.05,5,Funds
1001819,13688,1138.25,6,Funds
1001821,17752,1562.91,1,Funds
1001823,39,0,2,Funds
1001824,16321,1537.93,3,Funds
1001831,14922,3550.49,2,Funds
1001837,1811,1058.6,6,Funds
1001843,9875,2626.23,5,Funds
1001845,5503,2826.07,2,Funds
1001850,5472,3250.73,2,Funds
1001852,17360,644.07,3,Funds
1001853,6138,650.31,3,Funds
1001854,6319,1183.5,3,Funds
1001855,23743,1762.76,3,Funds
1001857,16261,1887.66,3,Funds
1001858,1509,1133.54,1,Funds
1001863,2801,1413.03,7,Funds
1001864,22825,1325.6,7,Funds
1001864,23149,1325.6,5,Funds
1001865,17544,750.51,7,Funds
1001866,10808,2801.09,5,Funds
1001871,23473,958.68,1,Funds
1001874,11580,3050.89,5,Funds
1001878,14164,3425.59,2,Funds
1001879,12672,1850.19,7,Funds
1001885,15696,3475.55,5,Funds
1001886,14397,2950.97,5,Funds
1001888,15635,3375.63,7,Funds
1001889,21717,1313.11,2,Funds
1001890,11945,694.03,2,Funds
1001897,4859,3500.53,3,Funds
1001900,6459,1133.54,2,Funds
1001902,1032,3450.57,7,Funds
1001903,8136,2651.21,5,Funds
1001906,8256,1787.74,2,Funds
1001913,11969,1600.38,1,Funds
1001913,21304,1600.38,5,Funds
1001915,18725,1213.19,6,Funds
1001917,2113,3025.91,3,Funds
1001921,8524,2551.29,2,Funds
1001923,58,3150.81,5,Funds
1001932,14319,0,1,Funds
1001939,12409,1300.62,2,Funds
1001941,477,1133.54,1,Funds
1001944,20481,1363.07,2,Funds
1001946,20625,3425.59,6,Funds
1001950,11676,2276.5,3,Funds
1001952,13365,1450.5,1,Funds
1001954,1362,2701.17,6,Funds
1001967,1835,837.66,7,Funds
1001969,15142,1125.21,5,Funds
1001971,3281,1425.52,6,Funds
1001971,10799,1425.52,6,Funds
1001973,21396,758.83,2,Funds
1001974,5437,1687.81,7,Funds
1001975,8312,931.34,1,Funds
1001978,23863,2801.09,6,Funds
1001989,23113,1275.64,6,Funds
1001993,13285,1275.64,4,Funds
1001993,21183,1275.64,5,Funds
1001995,13862,1762.76,5,Funds
1001995,15297,1762.76,5,Funds
1001998,22692,731.5,7,Funds
1002000,15168,681.54,2,Funds
1002006,3080,1625.36,1,Funds
1002008,11021,1750.27,4,Funds
1002012,14826,2901.01,4,Funds
1002014,800,3150.81,1,Funds
1002020,21751,858.76,1,Funds
1002022,11151,2476.35,3,Funds
1002031,15445,1058.6,2,Funds
1002032,2975,1450.5,6,Funds
1002035,15750,1016.96,6,Funds
1002035,23568,1016.96,7,Funds
1002037,23722,1041.94,7,Funds
1002041,14282,750.51,7,Funds
1002042,18755,2801.09,7,Funds
1002047,18132,3175.79,6,Funds
1002048,21132,0,2,Funds
1002053,6127,3550.49,6,Funds
1002054,11304,1225.68,3,Funds
1002056,23794,2551.29,7,Funds
1002070,20841,3500.53,7,Funds
1002072,12383,1575.4,2,Funds
1002073,5893,1288.13,1,Funds
1002074,20123,2851.05,7,Funds
1002075,16273,1825.21,3,Funds
1002080,9348,1637.85,6,Funds
1002080,22530,1637.85,4,Funds
1002083,2846,3475.55,2,Funds
1002087,7734,1175.17,3,Funds
1002093,13121,0,4,Funds
1002094,4640,0,6,Funds
1002098,15186,2576.27,7,Funds
1002106,23627,1313.11,2,Funds
1002116,17377,1737.78,3,Funds
1002126,3628,1787.74,3,Funds
1002126,3679,1787.74,7,Funds
1002127,14183,2950.97,3,Funds
1002138,7685,3050.89,1,Funds
1002140,6471,2226.54,2,Funds
1002142,20338,669.05,4,Funds
1002144,11127,3575.47,6,Funds
1002145,17667,644.07,3,Funds
1002145,19837,644.07,2,Funds
1002145,21089,644.07,5,Funds
1002149,5871,4100.05,2,Funds
1002154,15414,1125.21,3,Funds
1002163,19750,743.99,2,Funds
1002165,20954,2526.31,6,Funds
1002168,10235,2975.95,2,Funds
1002169,17581,1191.82,5,Funds
1002177,21819,681.54,6,Funds
1002178,13084,933.7,5,Funds
1002178,13795,933.7,5,Funds
1002183,5233,0,6,Funds
1002187,17985,868.89,1,Funds
1002190,3191,1487.97,7,Funds
1002194,23581,3425.59,2,Funds
1002199,1547,656.56,6,Funds
1002204,16591,3375.63,2,Funds
1002208,1993,1263.15,7,Funds
1002215,13210,3000.93,7,Funds
1002217,21529,1787.74,4,Funds
1002218,11715,1075.25,5,Funds
1002219,7620,1562.91,5,Funds
1002221,17187,1837.7,5,Funds
1002222,6594,1166.84,1,Funds
1002223,9800,2950.97,2,Funds
1002224,16799,1712.8,3,Funds
1002227,17905,1058.6,7,Funds
1002231,12900,3450.57,7,Funds
1002236,14557,1500.46,3,Funds
1002244,17234,1175.72,1,Funds
1002249,13656,2576.27,6,Funds
1002259,17675,868.89,7,Funds
1002265,7593,1125.76,2,Funds
1002270,8069,2726.15,2,Funds
1002289,18476,3575.47,4,Funds
1002290,3320,1125.76,1,Funds
1002291,21354,2551.29,1,Funds
1002292,14946,2651.21,5,Funds
1002293,21934,3150.81,7,Funds
1002297,22317,2451.37,5,Funds
1002302,17997,1700.31,3,Funds
1002305,5293,1450.5,5,Funds
1002305,12550,1450.5,2,Funds
1002307,18723,1400.54,2,Funds
1002308,22593,1775.25,5,Funds
1002312,13494,2526.31,4,Funds
1002314,12612,1537.93,2,Funds
1002315,14487,3575.47,6,Funds
1002316,17217,918.85,1,Funds
1002317,12474,1637.85,3,Funds
1002318,296,858.76,2,Funds
1002321,20447,933.7,3,Funds
1002323,1458,1175.17,6,Funds
1002330,11637,3325.67,1,Funds
1002332,15078,900.39,4,Funds
1002336,8016,3100.85,5,Funds
1002339,63,1216.8,6,Funds
1002339,5910,1216.8,7,Funds
1002339,11250,1216.8,5,Funds
1002342,5088,3675.39,2,Funds
1002347,13438,1837.7,1,Funds
1002348,4391,3125.83,7,Funds
1002350,12242,3450.57,3,Funds
1002352,6934,2751.13,3,Funds
1002354,5055,1612.87,6,Funds
1002355,15149,3250.73,6,Funds
1002360,15288,2601.25,7,Funds
1002361,7010,1191.82,4,Funds
1002363,11535,1575.4,7,Funds
1002374,20032,1462.99,2,Funds
1002376,13760,2201.56,1,Funds
1002381,13632,2601.25,6,Funds
1002382,608,1675.32,3,Funds
1002383,5135,2576.27,3,Funds
1002384,1363,2950.97,6,Funds
1002386,12071,1033.62,4,Funds
1002388,7374,806.44,1,Funds
1002390,4884,2226.54,1,Funds
1002394,10292,833.78,2,Funds
1002397,8693,3350.65,4,Funds
1002403,9506,1937.62,5,Funds
1002409,12894,737.74,2,Funds
1002412,20034,967,6,Funds
1002413,6222,1637.85,2,Funds
1002413,18037,1637.85,2,Funds
1002417,12979,2551.29,1,Funds
1002420,11073,1241.78,4,Funds
1002421,3529,3400.61,5,Funds
1002422,4308,756.48,3,Funds
1002436,7135,2251.52,7,Funds
1002439,9626,1487.97,4,Funds
1002440,14104,3525.51,6,Funds
1002441,22374,2701.17,7,Funds
1002447,12604,3450.57,5,Funds
1002449,17782,1050.27,1,Funds
1002452,1163,3275.71,6,Funds
1002453,20472,1600.38,1,Funds
1002457,12985,1725.29,7,Funds
1002462,8501,1537.93,6,Funds
1002472,15099,3325.67,4,Funds
