CustID,ContactID,Date,Agent,Category
1000211,41,16JUL2014:00:00:00,87,Telebanking
1000215,42,15JUL2014:00:00:00,88,Telebanking
1000220,43,12JUN2014:00:00:00,47,Telebanking
1000223,44,03FEB2014:00:00:00,96,Telebanking
1000223,45,01APR2014:00:00:00,75,Telebanking
1000252,46,09JUL2014:00:00:00,62,Telebanking
1000252,47,26FEB2014:00:00:00,94,Complaint
1000255,48,23JAN2014:00:00:00,38,Complaint
1000260,49,01MAR2014:00:00:00,31,Complaint
1000267,50,29JUN2014:00:00:00,78,Telebanking
1000267,51,19JUL2014:00:00:00,1,Request
1000270,52,31MAY2014:00:00:00,76,Telebanking
1000270,53,19APR2014:00:00:00,92,Telebanking
1000279,54,12FEB2014:00:00:00,35,Telebanking
1000279,55,27MAR2014:00:00:00,80,Complaint
1000280,56,25MAR2014:00:00:00,40,Telebanking
1000290,57,15FEB2014:00:00:00,78,Request
1000302,58,07JUL2014:00:00:00,73,Complaint
1000318,59,17MAR2014:00:00:00,20,Telebanking
1000318,60,29APR2014:00:00:00,56,Telebanking
1000335,61,05JAN2014:00:00:00,93,Request
1000335,62,23MAY2014:00:00:00,26,Complaint
1000342,63,13JUL2014:00:00:00,12,Telebanking
1000365,64,22JAN2014:00:00:00,10,Telebanking
1000382,65,03JUL2014:00:00:00,54,Complaint
1000403,66,03MAR2014:00:00:00,51,Complaint
1000403,67,18MAY2014:00:00:00,32,Telebanking
1000427,68,01MAY2014:00:00:00,80,Telebanking
1000427,69,17FEB2014:00:00:00,8,Complaint
1000428,70,26MAR2014:00:00:00,4,Telebanking
1000430,71,27JUN2014:00:00:00,57,Complaint
1000434,72,24MAY2014:00:00:00,45,Telebanking
1000434,73,02JUN2014:00:00:00,89,Telebanking
1000437,74,19JAN2014:00:00:00,16,Complaint
1000438,75,22FEB2014:00:00:00,76,Telebanking
1000444,76,22MAR2014:00:00:00,33,Telebanking
1000445,77,07FEB2014:00:00:00,24,Telebanking
1000448,78,16FEB2014:00:00:00,95,Telebanking
1000455,79,15JUL2014:00:00:00,3,Telebanking
1000464,80,10JUL2014:00:00:00,85,Request
1000464,81,14APR2014:00:00:00,50,Complaint
1000466,82,26APR2014:00:00:00,12,Telebanking
1000470,83,07APR2014:00:00:00,78,Telebanking
1000474,84,18MAR2014:00:00:00,19,Telebanking
1000481,85,05JAN2014:00:00:00,17,Telebanking
1000481,86,05JUL2014:00:00:00,8,Telebanking
1000489,87,24JAN2014:00:00:00,12,Telebanking
1000492,88,05FEB2014:00:00:00,76,Telebanking
1000496,89,05APR2014:00:00:00,52,Telebanking
1000497,90,22FEB2014:00:00:00,18,Telebanking
1000497,91,09APR2014:00:00:00,50,Complaint
1000501,92,09JUL2014:00:00:00,28,Complaint
1000501,93,04APR2014:00:00:00,57,Telebanking
1000502,94,27MAY2014:00:00:00,96,Telebanking
1000503,95,02MAR2014:00:00:00,26,Telebanking
1000512,96,18APR2014:00:00:00,10,Complaint
1000518,97,01JUN2014:00:00:00,26,Telebanking
1000528,98,09JUN2014:00:00:00,79,Telebanking
1000535,99,16APR2014:00:00:00,73,Telebanking
1000537,100,11MAR2014:00:00:00,53,Telebanking
1000541,101,07MAY2014:00:00:00,73,Complaint
1000541,102,22JUN2014:00:00:00,5,Telebanking
1000552,103,31MAR2014:00:00:00,87,Telebanking
1000555,104,06JUL2014:00:00:00,64,Complaint
1000557,105,30APR2014:00:00:00,10,Telebanking
1000558,106,15FEB2014:00:00:00,55,Telebanking
1000572,107,04JUL2014:00:00:00,46,Complaint
1000578,108,03JAN2014:00:00:00,15,Complaint
1000579,109,10FEB2014:00:00:00,98,Complaint
1000580,110,31MAY2014:00:00:00,63,Complaint
1000585,111,02JUN2014:00:00:00,1,Telebanking
1000586,112,30JUN2014:00:00:00,54,Telebanking
1000601,113,24JAN2014:00:00:00,22,Telebanking
1000634,114,27MAR2014:00:00:00,50,Telebanking
1000641,115,23JAN2014:00:00:00,75,Telebanking
1000641,116,11MAR2014:00:00:00,39,Telebanking
1000641,117,05FEB2014:00:00:00,41,Telebanking
1000644,118,10JAN2014:00:00:00,36,Telebanking
1000644,119,01JUL2014:00:00:00,33,Telebanking
1000663,120,06FEB2014:00:00:00,71,Telebanking
1000664,121,09FEB2014:00:00:00,33,Telebanking
1000667,122,21JUN2014:00:00:00,49,Request
1000669,123,02FEB2014:00:00:00,86,Telebanking
1000679,124,28FEB2014:00:00:00,55,Telebanking
1000679,125,02JUL2014:00:00:00,66,Telebanking
1000680,126,07JUL2014:00:00:00,15,Telebanking
1000709,127,15JAN2014:00:00:00,34,Telebanking
1000717,128,24APR2014:00:00:00,91,Telebanking
1000726,129,01MAR2014:00:00:00,73,Telebanking
1000739,130,08JAN2014:00:00:00,10,Telebanking
1000739,131,09JAN2014:00:00:00,82,Telebanking
1000741,132,21FEB2014:00:00:00,60,Complaint
1000756,133,02MAY2014:00:00:00,94,Complaint
1000767,134,13MAY2014:00:00:00,60,Telebanking
1000767,135,17APR2014:00:00:00,34,Telebanking
1000770,136,26JAN2014:00:00:00,55,Telebanking
1000793,137,16APR2014:00:00:00,41,Telebanking
1000799,138,21MAR2014:00:00:00,35,Telebanking
1000801,139,13MAR2014:00:00:00,33,Telebanking
1000801,140,20MAY2014:00:00:00,60,Complaint
1000809,141,18JUN2014:00:00:00,82,Telebanking
1000809,142,19JUL2014:00:00:00,21,Request
1000833,143,11JAN2014:00:00:00,32,Telebanking
1000833,144,23JAN2014:00:00:00,51,Telebanking
1000837,145,02FEB2014:00:00:00,84,Complaint
1000837,146,10JUN2014:00:00:00,76,Complaint
1000839,147,17MAR2014:00:00:00,8,Complaint
1000841,148,18MAY2014:00:00:00,36,Telebanking
1000843,149,25FEB2014:00:00:00,67,Telebanking
1000843,150,04FEB2014:00:00:00,6,Complaint
1000850,151,30APR2014:00:00:00,62,Telebanking
1000850,152,12FEB2014:00:00:00,86,Telebanking
1000855,153,16FEB2014:00:00:00,3,Complaint
1000863,154,21MAR2014:00:00:00,35,Complaint
1000865,155,31MAY2014:00:00:00,21,Telebanking
1000870,156,12MAR2014:00:00:00,30,Telebanking
1000870,157,10MAR2014:00:00:00,80,Complaint
1000870,158,01JUN2014:00:00:00,72,Telebanking
1000880,159,13JUN2014:00:00:00,48,Telebanking
1000880,160,19MAR2014:00:00:00,45,Telebanking
1000881,161,09JUN2014:00:00:00,45,Complaint
1000883,162,30JUN2014:00:00:00,44,Telebanking
1000886,163,05JAN2014:00:00:00,55,Telebanking
1000893,164,01APR2014:00:00:00,14,Telebanking
1000895,165,24APR2014:00:00:00,34,Complaint
1000895,166,30MAR2014:00:00:00,100,Telebanking
1000918,167,22APR2014:00:00:00,38,Telebanking
1000918,168,05JAN2014:00:00:00,21,Telebanking
1000919,169,08APR2014:00:00:00,39,Telebanking
1000932,170,07MAY2014:00:00:00,63,Telebanking
1000936,171,02JAN2014:00:00:00,28,Complaint
1000936,172,27APR2014:00:00:00,18,Telebanking
1000941,173,04APR2014:00:00:00,41,Complaint
1000984,174,02MAR2014:00:00:00,97,Telebanking
1000994,175,03MAR2014:00:00:00,89,Complaint
1000994,176,08JUN2014:00:00:00,26,Telebanking
1001007,177,30JAN2014:00:00:00,73,Telebanking
1001010,178,23MAR2014:00:00:00,81,Complaint
1001010,179,12JAN2014:00:00:00,17,Telebanking
1001024,180,15APR2014:00:00:00,97,Complaint
1001032,181,22APR2014:00:00:00,55,Telebanking
1001035,182,14MAY2014:00:00:00,54,Complaint
1001035,183,05MAY2014:00:00:00,73,Request
1001035,184,05MAY2014:00:00:00,24,Telebanking
1001036,185,09APR2014:00:00:00,6,Telebanking
1001051,186,21MAY2014:00:00:00,29,Complaint
1001051,187,25JUN2014:00:00:00,37,Telebanking
1001055,188,10MAR2014:00:00:00,58,Complaint
1001077,189,04JAN2014:00:00:00,69,Telebanking
1001077,190,11JAN2014:00:00:00,48,Telebanking
1001088,191,14JUL2014:00:00:00,81,Complaint
1001089,192,26MAR2014:00:00:00,11,Complaint
1001089,193,15MAY2014:00:00:00,4,Telebanking
1001091,194,05JUL2014:00:00:00,38,Telebanking
1001093,195,01APR2014:00:00:00,69,Request
1001095,196,20APR2014:00:00:00,48,Telebanking
1001100,197,23FEB2014:00:00:00,95,Telebanking
1001100,198,28MAR2014:00:00:00,5,Telebanking
1001105,199,28MAR2014:00:00:00,23,Telebanking
1001106,200,18JUL2014:00:00:00,91,Request
1001106,201,02MAY2014:00:00:00,93,Telebanking
1001110,202,09JUN2014:00:00:00,71,Telebanking
1001110,203,18APR2014:00:00:00,56,Telebanking
1001110,204,30JAN2014:00:00:00,29,Telebanking
1001122,205,20JUL2014:00:00:00,12,Telebanking
1001122,206,19FEB2014:00:00:00,82,Complaint
1001125,207,17JUL2014:00:00:00,48,Telebanking
1001128,208,06JAN2014:00:00:00,20,Complaint
1001133,209,19JUN2014:00:00:00,24,Complaint
1001141,210,26JAN2014:00:00:00,80,Complaint
1001141,211,28JUN2014:00:00:00,57,Telebanking
1001146,212,30MAR2014:00:00:00,98,Request
1001158,213,18APR2014:00:00:00,64,Telebanking
1001166,214,22MAR2014:00:00:00,23,Telebanking
1001168,215,15MAY2014:00:00:00,14,Telebanking
1001168,216,22JAN2014:00:00:00,74,Request
1001168,217,02MAY2014:00:00:00,6,Telebanking
1001173,218,15JUN2014:00:00:00,29,Telebanking
1001203,219,05JUL2014:00:00:00,8,Telebanking
1001203,220,26MAR2014:00:00:00,30,Telebanking
1001203,221,08APR2014:00:00:00,95,Telebanking
1001211,222,27JUN2014:00:00:00,31,Telebanking
1001219,223,22APR2014:00:00:00,38,Complaint
1001221,224,28MAR2014:00:00:00,32,Telebanking
1001226,225,08MAY2014:00:00:00,6,Telebanking
1001237,226,14JUN2014:00:00:00,54,Complaint
1001242,227,12FEB2014:00:00:00,72,Telebanking
1001242,228,31MAR2014:00:00:00,23,Telebanking
1001255,229,29JUN2014:00:00:00,18,Telebanking
1001255,230,18APR2014:00:00:00,45,Telebanking
1001265,231,12JUN2014:00:00:00,29,Complaint
1001265,232,19JUL2014:00:00:00,1,Complaint
1001268,233,24FEB2014:00:00:00,37,Telebanking
1001275,234,17FEB2014:00:00:00,1,Telebanking
1001279,235,02APR2014:00:00:00,58,Complaint
1001283,236,13FEB2014:00:00:00,75,Complaint
1001301,237,26JAN2014:00:00:00,2,Telebanking
1001307,238,24MAY2014:00:00:00,70,Request
1001307,239,25FEB2014:00:00:00,56,Telebanking
1001308,240,04FEB2014:00:00:00,70,Telebanking
1001319,241,10MAY2014:00:00:00,91,Telebanking
1001320,242,23JAN2014:00:00:00,61,Complaint
1001320,243,23FEB2014:00:00:00,87,Telebanking
1001323,244,24JUN2014:00:00:00,82,Telebanking
1001323,245,03FEB2014:00:00:00,89,Complaint
1001323,246,20APR2014:00:00:00,21,Complaint
1001338,247,27FEB2014:00:00:00,94,Telebanking
1001338,248,02MAY2014:00:00:00,8,Telebanking
1001340,249,22MAY2014:00:00:00,87,Telebanking
1001340,250,03JAN2014:00:00:00,93,Telebanking
1001346,251,17JAN2014:00:00:00,37,Complaint
1001347,252,16MAY2014:00:00:00,7,Telebanking
1001351,253,08MAR2014:00:00:00,46,Telebanking
1001360,254,18JUL2014:00:00:00,36,Complaint
1001364,255,27MAY2014:00:00:00,13,Telebanking
1001376,256,09FEB2014:00:00:00,22,Telebanking
1001376,257,24APR2014:00:00:00,52,Complaint
1001381,258,27FEB2014:00:00:00,53,Telebanking
1001381,259,22MAR2014:00:00:00,97,Telebanking
1001394,260,10JAN2014:00:00:00,87,Telebanking
1001404,261,24JAN2014:00:00:00,80,Complaint
1001410,262,22JUN2014:00:00:00,49,Telebanking
1001417,263,07FEB2014:00:00:00,47,Complaint
1001421,264,02MAY2014:00:00:00,62,Telebanking
1001432,265,29JUN2014:00:00:00,11,Telebanking
1001450,266,03JUN2014:00:00:00,55,Telebanking
1001450,267,23FEB2014:00:00:00,78,Complaint
1001460,268,08APR2014:00:00:00,52,Complaint
1001463,269,20APR2014:00:00:00,79,Telebanking
1001463,270,04FEB2014:00:00:00,85,Telebanking
1001504,271,17APR2014:00:00:00,16,Telebanking
1001504,272,05JAN2014:00:00:00,86,Request
1001507,273,26JUN2014:00:00:00,33,Telebanking
1001519,274,22MAY2014:00:00:00,37,Request
1001532,275,03APR2014:00:00:00,70,Telebanking
1001533,276,13JAN2014:00:00:00,13,Telebanking
1001533,277,28JUN2014:00:00:00,92,Telebanking
1001534,278,07JAN2014:00:00:00,85,Telebanking
1001551,279,09MAR2014:00:00:00,55,Telebanking
1001551,280,18JUN2014:00:00:00,56,Telebanking
1001557,281,12MAY2014:00:00:00,40,Telebanking
1001557,282,02JAN2014:00:00:00,8,Telebanking
1001580,283,07JUN2014:00:00:00,5,Complaint
1001587,284,13FEB2014:00:00:00,52,Request
1001605,285,13MAY2014:00:00:00,89,Complaint
1001605,286,22APR2014:00:00:00,18,Telebanking
1001620,287,22APR2014:00:00:00,89,Telebanking
1001623,288,13JUL2014:00:00:00,12,Telebanking
1001626,289,14JUL2014:00:00:00,77,Telebanking
1001626,290,02APR2014:00:00:00,39,Complaint
1001634,291,06JUN2014:00:00:00,51,Telebanking
1001647,292,02JUL2014:00:00:00,73,Telebanking
1001651,293,05JAN2014:00:00:00,58,Complaint
1001653,294,21JAN2014:00:00:00,31,Request
1001655,295,22JUN2014:00:00:00,35,Complaint
1001675,296,10MAR2014:00:00:00,15,Telebanking
1001684,297,15MAY2014:00:00:00,82,Telebanking
1001684,298,16MAY2014:00:00:00,31,Telebanking
1001689,299,04MAR2014:00:00:00,8,Complaint
1001691,300,17JUN2014:00:00:00,10,Complaint
1001692,301,26APR2014:00:00:00,94,Telebanking
1001695,302,06JUN2014:00:00:00,95,Complaint
1001701,303,04MAY2014:00:00:00,20,Telebanking
1001703,304,10JAN2014:00:00:00,44,Complaint
1001707,305,14JUN2014:00:00:00,6,Request
1001707,306,06APR2014:00:00:00,36,Telebanking
1001734,307,14JUL2014:00:00:00,10,Telebanking
1001736,308,21FEB2014:00:00:00,48,Telebanking
1001739,309,02JUL2014:00:00:00,80,Telebanking
1001739,310,18APR2014:00:00:00,52,Telebanking
1001740,311,27APR2014:00:00:00,56,Telebanking
1001752,312,01JUN2014:00:00:00,13,Telebanking
1001754,313,21JUN2014:00:00:00,60,Complaint
1001759,314,11FEB2014:00:00:00,1,Complaint
1001760,315,23APR2014:00:00:00,34,Telebanking
1001764,316,22MAR2014:00:00:00,19,Telebanking
1001769,317,25JUN2014:00:00:00,20,Complaint
1001775,318,05JAN2014:00:00:00,46,Telebanking
1001778,319,14JUN2014:00:00:00,66,Telebanking
1001795,320,30JAN2014:00:00:00,44,Complaint
1001811,321,02JUN2014:00:00:00,69,Telebanking
1001822,322,31JAN2014:00:00:00,41,Telebanking
1001822,323,23JUN2014:00:00:00,72,Telebanking
1001823,324,25JAN2014:00:00:00,98,Telebanking
1001831,325,20JUL2014:00:00:00,26,Telebanking
1001833,326,01MAY2014:00:00:00,20,Telebanking
1001843,327,15JUL2014:00:00:00,100,Telebanking
1001852,328,22MAR2014:00:00:00,34,Complaint
1001858,329,08APR2014:00:00:00,64,Telebanking
1001871,330,24APR2014:00:00:00,14,Complaint
1001872,331,18JAN2014:00:00:00,91,Complaint
1001884,332,17APR2014:00:00:00,19,Telebanking
1001884,333,22FEB2014:00:00:00,73,Complaint
1001899,334,10JUL2014:00:00:00,32,Telebanking
1001909,335,17MAY2014:00:00:00,43,Telebanking
1001909,336,08JUL2014:00:00:00,94,Telebanking
1001910,337,08JAN2014:00:00:00,61,Telebanking
1001911,338,16MAY2014:00:00:00,69,Complaint
1001911,339,15FEB2014:00:00:00,85,Telebanking
1001911,340,27MAY2014:00:00:00,25,Complaint
1001914,341,29JUN2014:00:00:00,60,Complaint
1001927,342,07MAY2014:00:00:00,52,Complaint
1001932,343,10MAY2014:00:00:00,58,Telebanking
1001952,344,21FEB2014:00:00:00,66,Telebanking
1001959,345,14JUL2014:00:00:00,34,Complaint
1001964,346,02MAY2014:00:00:00,20,Telebanking
1001967,347,04MAR2014:00:00:00,33,Telebanking
1001971,348,28MAR2014:00:00:00,77,Telebanking
1001971,349,05JUL2014:00:00:00,42,Telebanking
1001976,350,14JAN2014:00:00:00,58,Telebanking
1001980,351,20JAN2014:00:00:00,2,Complaint
1001990,352,01MAR2014:00:00:00,76,Telebanking
1001997,353,19MAY2014:00:00:00,66,Telebanking
1001998,354,25JUN2014:00:00:00,81,Telebanking
1001998,355,31JAN2014:00:00:00,83,Telebanking
1002014,356,23JAN2014:00:00:00,95,Telebanking
1002016,357,30APR2014:00:00:00,85,Telebanking
1002020,358,14JUN2014:00:00:00,96,Request
1002024,359,21MAY2014:00:00:00,59,Telebanking
1002032,360,01MAR2014:00:00:00,11,Telebanking
1002033,361,18MAY2014:00:00:00,92,Telebanking
1002035,362,13JUN2014:00:00:00,97,Complaint
1002039,363,10JAN2014:00:00:00,71,Telebanking
1002042,364,06APR2014:00:00:00,54,Telebanking
1002048,365,11MAR2014:00:00:00,22,Telebanking
1002048,366,11MAY2014:00:00:00,29,Complaint
1002050,367,19APR2014:00:00:00,1,Telebanking
1002054,368,03JUN2014:00:00:00,66,Complaint
1002093,369,04MAY2014:00:00:00,25,Complaint
1002094,370,16MAR2014:00:00:00,41,Telebanking
1002098,371,23JUN2014:00:00:00,54,Complaint
1002113,372,29APR2014:00:00:00,70,Telebanking
1002118,373,26FEB2014:00:00:00,73,Telebanking
1002126,374,17MAY2014:00:00:00,53,Telebanking
1002126,375,21JAN2014:00:00:00,37,Complaint
1002127,376,16APR2014:00:00:00,29,Telebanking
1002136,377,10JUL2014:00:00:00,31,Complaint
1002136,378,01MAR2014:00:00:00,72,Request
1002136,379,20MAY2014:00:00:00,8,Complaint
1002138,380,25APR2014:00:00:00,93,Complaint
1002140,381,12APR2014:00:00:00,62,Telebanking
1002152,382,07APR2014:00:00:00,76,Telebanking
1002152,383,06FEB2014:00:00:00,82,Telebanking
1002166,384,09JUL2014:00:00:00,57,Telebanking
1002168,385,02APR2014:00:00:00,98,Complaint
1002183,386,12MAY2014:00:00:00,23,Complaint
1002195,387,05JAN2014:00:00:00,16,Telebanking
1002209,388,28APR2014:00:00:00,39,Telebanking
1002230,389,05FEB2014:00:00:00,58,Telebanking
1002231,390,11APR2014:00:00:00,46,Telebanking
1002238,391,22MAY2014:00:00:00,81,Telebanking
1002241,392,23JUN2014:00:00:00,58,Telebanking
1002241,393,18FEB2014:00:00:00,38,Complaint
1002241,394,23APR2014:00:00:00,7,Complaint
1002245,395,26JUN2014:00:00:00,61,Request
1002257,396,01APR2014:00:00:00,51,Complaint
1002262,397,17JUN2014:00:00:00,63,Telebanking
1002262,398,28APR2014:00:00:00,56,Complaint
1002264,399,05FEB2014:00:00:00,96,Telebanking
1002265,400,12MAR2014:00:00:00,6,Telebanking
1002265,401,16JUN2014:00:00:00,45,Telebanking
1002268,402,06MAR2014:00:00:00,2,Telebanking
1002268,403,20FEB2014:00:00:00,23,Telebanking
1002273,404,27FEB2014:00:00:00,56,Telebanking
1002291,405,12APR2014:00:00:00,49,Complaint
1002292,406,15JUL2014:00:00:00,83,Telebanking
1002297,407,17JAN2014:00:00:00,48,Telebanking
1002301,408,02MAR2014:00:00:00,77,Telebanking
1002301,409,28MAY2014:00:00:00,52,Telebanking
1002307,410,29APR2014:00:00:00,29,Telebanking
1002310,411,23JAN2014:00:00:00,64,Telebanking
1002317,412,30APR2014:00:00:00,20,Telebanking
1002317,413,23MAR2014:00:00:00,44,Complaint
1002317,414,04MAR2014:00:00:00,41,Complaint
1002329,415,13FEB2014:00:00:00,73,Telebanking
1002329,416,20JUL2014:00:00:00,72,Telebanking
1002331,417,18JUN2014:00:00:00,95,Complaint
1002331,418,29MAR2014:00:00:00,97,Telebanking
1002331,419,21FEB2014:00:00:00,66,Complaint
1002337,420,13APR2014:00:00:00,40,Request
1002337,421,23FEB2014:00:00:00,67,Telebanking
1002352,422,26FEB2014:00:00:00,33,Telebanking
1002352,423,30MAR2014:00:00:00,96,Telebanking
1002355,424,06JUL2014:00:00:00,100,Telebanking
1002360,425,29JUN2014:00:00:00,34,Complaint
1002360,426,10JAN2014:00:00:00,63,Telebanking
1002382,427,22MAR2014:00:00:00,38,Telebanking
1002384,428,23FEB2014:00:00:00,75,Complaint
1002384,429,06APR2014:00:00:00,33,Telebanking
1002384,430,05MAR2014:00:00:00,96,Telebanking
1002406,431,20JUN2014:00:00:00,63,Complaint
1002409,432,03APR2014:00:00:00,85,Telebanking
1002412,433,02MAY2014:00:00:00,90,Complaint
1002412,434,01MAR2014:00:00:00,48,Complaint
1002414,435,15APR2014:00:00:00,77,Telebanking
1002414,436,27MAY2014:00:00:00,67,Telebanking
1002439,437,26MAY2014:00:00:00,50,Telebanking
1002441,438,13JUN2014:00:00:00,72,Telebanking
1002441,439,08JUN2014:00:00:00,18,Complaint
1002462,440,01MAR2014:00:00:00,29,Telebanking
1002481,441,05MAY2014:00:00:00,99,Telebanking
1002481,442,09APR2014:00:00:00,99,Complaint
1002482,443,17APR2014:00:00:00,18,Telebanking
1002494,444,27JUN2014:00:00:00,63,Telebanking
1002494,445,09APR2014:00:00:00,40,Complaint
1002494,446,25JAN2014:00:00:00,36,Telebanking
1002499,447,14FEB2014:00:00:00,17,Telebanking
1002499,448,26MAR2014:00:00:00,21,Complaint
1002499,449,24APR2014:00:00:00,78,Telebanking
1002502,450,06JAN2014:00:00:00,77,Telebanking
1002502,451,09JUL2014:00:00:00,100,Telebanking
1002506,452,20JUN2014:00:00:00,78,Telebanking
1002506,453,23JAN2014:00:00:00,7,Telebanking
1002512,454,30MAY2014:00:00:00,58,Telebanking
1002519,455,04FEB2014:00:00:00,83,Telebanking
1002519,456,14MAY2014:00:00:00,61,Telebanking
1002519,457,02MAY2014:00:00:00,54,Complaint
1002523,458,10FEB2014:00:00:00,29,Telebanking
1002526,459,21JUN2014:00:00:00,61,Telebanking
1002526,460,01MAR2014:00:00:00,39,Request
1002527,461,08APR2014:00:00:00,9,Complaint
1002544,462,13JUL2014:00:00:00,5,Complaint
1002544,463,28APR2014:00:00:00,58,Telebanking
1002545,464,19APR2014:00:00:00,41,Telebanking
1002545,465,15JUN2014:00:00:00,5,Telebanking
1002545,466,27JUN2014:00:00:00,95,Complaint
1002549,467,04APR2014:00:00:00,29,Complaint
1002553,468,14MAY2014:00:00:00,74,Telebanking
1002553,469,05MAY2014:00:00:00,2,Complaint
1002557,470,09APR2014:00:00:00,73,Telebanking
1002557,471,26JAN2014:00:00:00,56,Telebanking
1002560,472,06APR2014:00:00:00,27,Telebanking
1002575,473,10JUN2014:00:00:00,29,Telebanking
1002575,474,28FEB2014:00:00:00,15,Telebanking
1002578,475,04FEB2014:00:00:00,84,Telebanking
1002584,476,08JAN2014:00:00:00,64,Telebanking
1002591,477,22JUN2014:00:00:00,89,Telebanking
1002599,478,27FEB2014:00:00:00,32,Telebanking
1002599,479,09JAN2014:00:00:00,57,Telebanking
1002603,480,16JUN2014:00:00:00,89,Complaint
1002608,481,03JAN2014:00:00:00,56,Request
1002609,482,02MAR2014:00:00:00,21,Telebanking
1002611,483,07JUN2014:00:00:00,8,Telebanking
1002618,484,19APR2014:00:00:00,100,Telebanking
1002619,485,17FEB2014:00:00:00,97,Telebanking
1002619,486,21FEB2014:00:00:00,59,Telebanking
1002623,487,24JUN2014:00:00:00,72,Telebanking
1002623,488,30JUN2014:00:00:00,94,Telebanking
1002628,489,26MAR2014:00:00:00,25,Telebanking
1002628,490,11JAN2014:00:00:00,74,Telebanking
1002633,491,16MAY2014:00:00:00,72,Telebanking
1002633,492,24FEB2014:00:00:00,25,Telebanking
1002634,493,03JAN2014:00:00:00,82,Complaint
1002634,494,23JAN2014:00:00:00,17,Telebanking
1002650,495,24FEB2014:00:00:00,78,Complaint
1002650,496,07MAR2014:00:00:00,42,Telebanking
1002667,497,16MAY2014:00:00:00,33,Telebanking
1002667,498,07JUL2014:00:00:00,48,Telebanking
1002677,499,04APR2014:00:00:00,85,Telebanking
1002683,500,05MAR2014:00:00:00,72,Telebanking
1002688,501,16FEB2014:00:00:00,92,Telebanking
1002696,502,15MAY2014:00:00:00,80,Telebanking
1002717,503,28JUN2014:00:00:00,8,Telebanking
1002725,504,11JAN2014:00:00:00,36,Telebanking
1002725,505,01APR2014:00:00:00,24,Telebanking
1002732,506,18FEB2014:00:00:00,29,Complaint
1002732,507,14JAN2014:00:00:00,92,Telebanking
1002744,508,17MAR2014:00:00:00,43,Complaint
1002791,509,10JUL2014:00:00:00,99,Complaint
1002794,510,02JUL2014:00:00:00,58,Complaint
1002802,511,18JAN2014:00:00:00,11,Telebanking
1002802,512,24APR2014:00:00:00,39,Telebanking
1002810,513,18MAR2014:00:00:00,6,Telebanking
1002819,514,16JAN2014:00:00:00,12,Complaint
1002819,515,09APR2014:00:00:00,87,Telebanking
1002823,516,19JUL2014:00:00:00,63,Complaint
1002827,517,08JUN2014:00:00:00,15,Telebanking
1002828,518,09FEB2014:00:00:00,83,Complaint
1002831,519,27MAR2014:00:00:00,44,Telebanking
1002841,520,11APR2014:00:00:00,47,Complaint
1002849,521,26JAN2014:00:00:00,95,Telebanking
1002851,522,03JUL2014:00:00:00,47,Telebanking
1002889,523,29APR2014:00:00:00,89,Telebanking
1002890,524,19JUL2014:00:00:00,87,Telebanking
1002890,525,10JUN2014:00:00:00,32,Telebanking
1002892,526,11JAN2014:00:00:00,17,Complaint
1002903,527,17MAY2014:00:00:00,40,Telebanking
1002904,528,01MAR2014:00:00:00,10,Telebanking
