CustID,Birthdate,Title,Branch,CustomerSince,Gender,MaritalStatus
1000131,22JUN1948,,Fil1,01AUG1999,Female,Single
1000132,12DEC1960,,Fil1,01SEP1999,Male,Married
1000133,20FEB1953,,Fil1,01FEB2003,Male,Married
1000134,29AUG1956,,Fil1,01JUL1995,Male,Single
1000137,15JUN1936,Ing.,Fil2,01DEC2002,Male,Divorce
1000138,29DEC1952,Mag.,Fil2,01JUL2003,Female,Single
1000140,26APR1976,,Fil1,01JAN1996,Male,Single
1000142,28AUG1969,,Fil1,01FEB1997,Male,Married
1000146,11SEP1958,,Fil2,01APR1999,Male,Single
1000148,08APR1958,,Fil4,01APR2003,Male,Married
1000149,09NOV1975,,Fil1,01NOV1996,Male,Single
1000150,05APR1954,,Fil2,01JAN2000,Male,Married
1000153,06JUN1952,,Fil1,01SEP1996,Female,Married
1000154,,,Fil4,01APR2001,Male,Single
1000155,02OCT1962,,Fil4,01SEP1995,Male,Married
1000156,27FEB1947,,Fil2,01FEB1996,Male,Single
1000158,02JUL1960,,Fil2,01OCT1998,Male,Divorce
1000159,20MAR1971,,Fil3,01JUN1997,Male,Married
1000161,30JUN1974,,Fil2,01JUN2001,Female,Married
1000165,14DEC1962,,Fil2,01APR1997,Female,Married
1000166,19MAR1970,,Fil2,01JUL2000,Female,Married
1000168,04APR1976,DI.,Fil2,01SEP1994,Male,Single
1000169,22JAN1970,,Fil2,01JUL1975,Female,Single
1000171,10DEC1937,,Fil2,01APR1994,Female,Married
1000172,11AUG1971,,Fil1,01AUG1999,Male,Single
1000173,27SEP1952,,Fil3,01DEC2000,Male,Married
1000174,07JUN1972,,Fil1,01JUN1996,Male,Married
1000175,25JUL1969,,Fil3,01JAN1998,Male,Married
1000177,20FEB1965,,Fil4,01MAY1987,Female,Married
1000178,06AUG1953,,Fil3,01DEC1998,Female,Married
1000180,11DEC1965,,Fil2,01JAN2003,Male,Single
1000181,06OCT1953,,Fil2,01MAY1998,Female,Married
1000182,13FEB1957,,Fil1,01APR1999,Female,Married
1000183,24JUL1985,,Fil2,01JUN1999,Female,Single
1000184,03FEB1981,,Fil2,01OCT2000,Male,Married
1000185,27JUL1964,,Fil2,01AUG1996,Male,Married
1000186,10AUG1960,,Fil2,01AUG1995,Male,Married
1000187,28OCT1951,,Fil1,01APR1999,Male,Single
1000189,30JAN1964,,Fil1,01MAR2000,Male,Married
1000190,02AUG1962,,Fil2,01JAN1995,Female,Single
1000194,03APR1966,,Fil1,01SEP2000,Male,Married
1000195,16MAR1966,Ing.,Fil4,01DEC1994,Female,Married
1000196,12MAR1956,,Fil2,01MAY1996,Female,Married
1000197,28APR1963,,Fil4,01APR2001,Male,Married
1000198,23MAY1953,,Fil1,01NOV1997,Male,Single
1000199,26MAR1964,,Fil2,01FEB1996,Male,Single
1000200,19SEP1954,,Fil4,01MAY1999,Male,Married
1000201,06SEP1968,,Fil1,,Female,Married
1000202,25OCT1949,DI.,Fil2,01FEB2000,Male,Married
1000204,01JUN1962,,Fil1,01OCT1995,Male,Single
1000207,28DEC1956,Mag.,Fil4,01SEP2003,Male,Single
1000208,13FEB1967,,Fil2,01JUN1999,Male,Married
1000210,07NOV1951,,Fil2,01APR1996,Male,Single
1000211,,,Fil1,01NOV1998,Female,Married
1000213,21SEP1968,,Fil1,01JAN1999,Female,Single
1000214,14OCT1959,DI.,Fil1,01JUN1996,Male,Single
1000215,,Ing.,Fil4,01MAY1999,Female,Married
1000216,06DEC1962,Mag.,Fil2,01FEB1996,Male,Divorce
1000217,22SEP1962,,Fil2,01JAN1995,Male,Single
1000218,22SEP1954,,Fil2,01NOV2002,Male,Married
1000219,03NOV1965,Mag.,Fil1,01DEC2003,Male,Single
1000220,26DEC1950,,Fil4,01JUL1999,Male,Single
1000223,28NOV1953,,Fil2,01DEC1996,Male,Single
1000224,28MAR1940,,Fil3,01MAR2003,Male,Single
1000225,16NOV1957,,Fil2,01FEB1996,Female,Married
1000226,06MAY1967,,Fil4,01FEB1996,Male,Single
1000227,20MAR1952,,Fil4,01MAY2002,Male,Single
1000229,23AUG1959,Ing.,Fil1,01AUG1999,Male,Single
1000230,26NOV1960,,Fil2,01MAY1997,Male,Married
1000232,22FEB1947,,Fil2,01AUG1996,Female,Single
1000233,02JUL1964,,Fil2,01MAY1996,Male,Single
1000234,01NOV1955,DI.,Fil2,01JAN1995,Female,Married
1000235,06AUG1953,,Fil4,01FEB1996,Male,Divorce
1000236,27MAR1956,,Fil2,01SEP1999,Female,Single
1000238,15JAN1968,,Fil1,01NOV1998,Female,Single
1000239,20DEC1953,,Fil2,01MAY2001,Female,Single
1000241,28DEC1952,,Fil3,01JAN1996,Male,Single
1000244,21JUL1963,,Fil2,01MAY2000,Male,Married
1000245,17AUG1959,,Fil2,01NOV1999,Female,Married
1000247,16AUG1966,,Fil1,01FEB1997,Female,Married
1000248,09SEP1963,Mag.,Fil2,01MAY1999,Male,Single
1000249,21AUG1956,,Fil1,01AUG1994,Male,Married
1000251,20APR1984,,Fil2,01JAN1997,Male,Married
1000252,14MAY1940,,Fil2,01MAR1994,Female,Single
1000255,15JUN1969,,Fil2,01NOV2002,Male,Single
1000258,22OCT1943,,Fil2,01FEB1998,Male,Divorce
1000259,30OCT1958,Ing.,Fil3,01JUN1999,Female,Married
1000260,14APR1959,Mag.,Fil1,01OCT2000,Male,Single
1000261,28JUN1971,,Fil2,01DEC1993,Male,Single
1000262,10APR1959,,Fil4,01JUN2003,Male,Single
1000266,09JAN1965,,Fil1,01MAY1999,Male,Married
1000267,05AUG1931,,Fil1,01NOV2002,Female,Married
1000269,15JAN1952,,Fil4,01JUN1999,Female,Married
1000270,,,Fil2,01FEB2001,Male,Married
1000271,07NOV1959,,Fil4,01NOV1999,Male,Married
1000272,25MAY1969,,Fil1,01AUG1999,Male,Married
1000273,18MAR1963,,Fil2,01DEC1998,Male,Single
1000277,08DEC1956,,Fil2,01JAN2001,Female,Single
1000278,11FEB1962,,Fil1,01JAN1996,Male,Single
1000279,22APR1955,,Fil3,01MAY1996,Female,Single
1000280,03DEC1973,,Fil1,01SEP2003,Male,Single
1000281,30OCT1951,,Fil2,01OCT2003,Male,Married
1000282,11MAR1958,,Fil1,01FEB2002,Male,Married
1000283,31JAN1957,,Fil2,01JUN2000,Male,Married
1000284,15MAY1959,,Fil2,01AUG2002,Female,Divorce
1000288,14DEC1963,,Fil4,01AUG1995,Male,Married
1000289,10FEB1967,Mag.,Fil1,01JUL1999,Male,Single
1000290,20DEC1947,,Fil2,01JUN1993,Female,Married
1000293,07APR1946,,Fil2,01JUL1996,Male,Married
1000294,25SEP1937,,Fil1,01DEC1993,Female,Single
1000300,31JUL1954,,Fil3,01APR1999,Male,Divorce
1000302,,,Fil2,01APR1999,Male,Married
1000303,07JUL1959,DI.,Fil2,01SEP2000,Male,Married
1000305,26DEC1940,DI.,Fil2,01OCT1996,Female,Single
1000306,30NOV1950,Mag.,Fil2,01APR2000,Male,Single
1000307,25SEP1956,,Fil2,01OCT1996,Male,Married
1000308,15SEP1981,,Fil2,01MAY1999,Female,Single
1000309,08MAY1970,,Fil2,01NOV2000,Male,Married
1000318,02JUN1969,,Fil1,01OCT2000,Male,Single
1000319,15OCT1949,Ing.,Fil2,01MAY1999,Male,Married
1000320,21JUN1947,,Fil1,01FEB1996,Female,Married
1000321,08AUG1943,,Fil2,01JUN1992,Male,Divorce
1000325,09AUG1944,Mag.,Fil1,01SEP2000,Female,Married
1000327,20AUG1972,Mag.,Fil2,01NOV1993,Male,Married
1000328,29MAR1961,,Fil1,01JAN1999,Female,Single
1000329,03MAY1972,DI.,Fil1,01NOV1985,Male,Married
1000330,09JUN1967,,Fil3,01MAY1999,Male,Single
1000331,10MAY1956,Mag.,Fil1,01JUN1999,Male,Single
1000332,22NOV1955,,Fil3,01MAR2002,Male,Single
1000333,01DEC1958,,Fil1,01DEC2003,Female,Married
1000335,07APR1968,,Fil4,01FEB1995,Female,Married
1000336,14NOV1947,,Fil2,01MAR1996,Male,Married
1000337,17MAR1929,Ing.,Fil4,01AUG2003,Male,Married
1000338,05APR1981,,Fil4,01DEC2003,Male,Divorce
1000339,24NOV1985,,Fil1,01SEP2000,Male,Married
1000341,19OCT1969,Ing.,Fil2,01JUN2000,Male,Single
1000342,29MAY1963,,Fil2,01FEB1998,Male,Single
1000343,13DEC1942,,Fil2,01JUL1996,Male,Married
1000345,08JAN1958,,Fil4,01SEP1999,Male,Married
1000348,14DEC1959,,Fil2,01AUG1999,Female,Single
1000350,26MAR1956,,Fil1,01JAN1995,Male,Single
1000351,25JAN1951,,Fil2,01JUL1999,Male,Single
1000352,27FEB1968,,Fil4,01JUN1992,Male,Married
1000353,17APR1969,,Fil1,01JUL1992,Male,Single
1000357,29JUN1955,,Fil4,01AUG1999,Male,Married
1000358,27MAY1982,,Fil2,01AUG1992,Female,Married
1000360,29SEP1956,,Fil1,01AUG1999,Female,Single
1000361,03MAR1959,,Fil2,01APR1996,Male,Single
1000363,05OCT1952,,Fil1,01MAY1999,Female,Married
1000364,17FEB1941,,Fil2,01MAR2002,Female,Single
1000365,07JUL1935,,Fil1,01SEP2000,Female,Married
1000366,12NOV1974,,Fil1,01AUG2000,Female,Single
1000368,22FEB1953,,Fil1,01JAN1996,Male,Single
1000369,30MAR1954,,Fil1,01NOV1999,Male,Single
1000370,03JUL1954,Ing.,Fil1,01MAY2001,Male,Divorce
1000371,03DEC1971,,Fil2,01JUN1993,Female,Single
1000372,09OCT1949,,Fil1,01JUL1995,Female,Married
1000373,02NOV1962,,Fil1,01AUG1999,Male,Married
1000374,10APR1973,Mag.,Fil2,,Female,Married
1000376,08MAY1937,,Fil4,01DEC2003,Male,Widowed
1000378,13APR1960,,Fil1,01JUN1999,Male,Single
1000381,07JUL1976,,Fil3,01JUN1998,Male,Married
1000382,,,Fil1,01APR2002,Male,Single
1000383,06MAY1961,Ing.,Fil1,01NOV1996,Male,Married
1000384,24MAY1965,,Fil2,01JUL2003,Male,Single
1000385,01JAN1939,Mag.,Fil2,01JUL1995,Male,Single
1000387,10DEC1948,,Fil2,01MAR2003,Female,Single
1000388,28JUL1950,,Fil2,01MAR2000,Male,Married
1000392,17MAY1940,,Fil2,,Male,Single
1000395,02MAR1958,,Fil2,01DEC2002,Male,Married
1000397,26NOV1930,,Fil2,01SEP2000,Male,Single
1000398,15FEB1968,,Fil4,01JUL2003,Male,Single
1000399,10MAR1948,,Fil4,01NOV1999,Male,Married
1000400,04DEC1956,,Fil2,01MAY1905,Male,Single
1000403,28JUL1985,Ing.,Fil4,01APR1993,Female,Single
1000405,07JUN1974,,Fil2,01MAR2001,Male,Single
1000406,07APR1946,Mag.,Fil2,01JAN1986,Female,Single
1000407,01AUG1967,,Fil4,01MAR2000,Male,Single
1000408,28MAR1962,,Fil4,01JUL1999,Female,Married
1000411,07MAR1946,,Fil4,01MAY2001,Male,Single
1000413,24MAR1963,Ing.,Fil1,01DEC1997,Female,Single
1000415,12NOV1955,,Fil2,01NOV1999,Male,Single
1000420,08NOV1969,,Fil4,01OCT1997,Female,Married
1000422,11JAN1955,,Fil3,01JUN1996,Male,Married
1000423,28SEP1958,,Fil4,01DEC2003,Male,Single
1000425,09JAN1966,,Fil4,01FEB1999,Female,Single
1000427,24JAN1938,,Fil2,01APR2000,Male,Married
1000428,14JUN1962,,Fil4,01FEB1987,Female,Married
1000430,21FEB1966,,Fil2,01MAR1999,Female,Married
1000431,09OCT1959,,Fil2,01DEC2002,Male,Married
1000434,14SEP1976,,Fil4,01AUG1995,Male,Single
1000435,10AUG1970,,Fil2,01SEP1999,Male,Married
1000437,20FEB1962,,Fil1,01OCT1996,Female,Single
1000438,,,Fil3,01MAR2002,Female,Married
1000439,08SEP1956,,Fil2,01MAY1991,Female,Married
1000440,08JAN1959,,Fil2,01JAN1999,Male,Single
1000441,05SEP1964,,Fil2,01MAY2002,Male,Married
1000443,14OCT1949,,Fil2,01DEC2003,Female,Married
1000444,09JUL1933,,Fil2,01JUN1999,Male,Single
1000445,22DEC1962,,Fil1,01AUG2003,Female,Single
1000446,28NOV1956,,Fil4,01DEC1999,Male,Single
1000448,03AUG1960,,Fil1,01MAR1998,Male,Married
1000450,12DEC1951,,Fil4,01JAN1997,Male,Married
1000453,01MAR1948,,Fil4,01MAR2002,Male,Married
1000455,14APR1958,,Fil2,01NOV2002,Female,Single
1000456,14OCT1959,Ing.,Fil2,01AUG1995,Male,Married
1000457,19NOV1971,,Fil4,01JUL1994,Female,Single
1000463,30MAY1979,,Fil2,01APR1999,Male,Single
1000464,15JAN1978,,Fil2,01SEP1999,Male,Single
1000465,10SEP1951,,Fil2,01FEB2001,Male,Single
1000466,,Ing.,Fil2,01MAY1996,Male,Single
1000467,10DEC1954,,Fil2,01MAR1997,Male,Married
1000468,04DEC1959,,Fil4,01AUG1997,Female,Single
1000470,17MAY1947,,Fil2,01MAR2003,Male,Married
1000471,30DEC1967,Mag.,Fil3,01FEB1996,Male,Single
1000474,28FEB1934,,Fil3,01SEP2002,Female,Married
1000476,21NOV1960,,Fil2,01APR2001,Male,Single
1000478,08JUL1955,,Fil4,01SEP1999,Male,Single
1000479,28AUG1979,,Fil3,01AUG2002,Male,Married
1000480,01JUN1965,,Fil3,01SEP1999,Male,Single
1000481,,,Fil2,01DEC1996,Female,Married
1000483,16MAY1958,,Fil2,01SEP1994,Male,Married
1000484,06DEC1956,,Fil4,01JUN2002,Male,Divorce
1000489,18SEP1944,,Fil2,01AUG1996,Male,Married
1000490,11DEC1977,,Fil2,01JAN1999,Male,Married
1000492,18MAR1956,,Fil4,01NOV1998,Male,Married
1000496,23SEP1966,,Fil2,01FEB1995,Male,Single
1000497,04OCT1951,,Fil3,01SEP1999,Female,Single
1000499,27OCT1947,,Fil4,01MAR1996,Male,Single
1000501,16DEC1962,,Fil2,01JUL1999,Female,Married
1000502,28OCT1964,,Fil3,01JUL1999,Male,Married
1000503,22DEC1930,,Fil2,01MAY1996,Female,Divorce
1000506,17DEC1958,,Fil2,01AUG1996,Female,Married
1000508,03MAY1954,,Fil2,01JUN1996,Female,Married
1000509,11AUG1974,,Fil4,01JAN2001,Male,Married
1000511,07APR1964,,Fil4,01FEB1999,Female,Married
1000512,05AUG1976,,Fil2,01DEC2000,Female,Single
1000513,27JAN1957,,Fil2,01AUG1999,Male,Married
1000514,20JUN1952,,Fil2,01APR2000,Male,Married
1000518,28JUL1971,Ing.,Fil1,01JUN1999,Male,Single
1000521,19NOV1965,,Fil4,01APR2003,Male,Married
1000522,08AUG1951,Ing.,Fil2,01MAR1996,Male,Single
1000524,27AUG1953,,Fil2,01MAR1996,Female,Married
1000525,18FEB1944,Mag.,Fil1,01JAN1996,Male,Single
1000527,02JUL1964,,Fil4,01MAY1993,Female,Married
1000528,19AUG1958,,Fil2,01AUG1999,Male,Single
1000532,05FEB1963,,Fil2,01JUN1998,Female,Married
1000534,20JUL1964,,Fil4,01OCT2002,Male,Married
1000535,03MAY1945,,Fil2,01MAY1999,Male,Married
1000537,27MAY1950,,Fil2,01DEC2000,Male,Single
1000539,19APR1957,,Fil1,01JAN2002,Female,Married
1000540,07FEB1970,,Fil2,01MAR2002,Male,Widowed
1000541,01AUG1975,,Fil2,01DEC1998,Male,Married
1000545,03JUN1964,DI.,Fil4,01MAR1996,Female,Single
1000546,09APR1979,,Fil4,01SEP1997,Female,Single
1000548,15JAN1964,Ing.,Fil2,01MAY2002,Male,Single
1000549,09DEC1967,,Fil1,01DEC1999,Male,Married
1000551,23MAY1969,,Fil4,01APR1996,Male,Married
1000552,02OCT1967,,Fil1,01FEB2000,Female,Married
1000554,14AUG1958,,Fil4,01NOV1996,Male,Married
1000555,10DEC1941,,Fil1,01JAN1996,Male,Single
1000557,05JAN1954,,Fil1,01APR1996,Male,Married
1000558,24DEC1971,,Fil2,01OCT1999,Male,Married
1000561,19NOV1957,,Fil2,,Male,Married
1000562,23AUG1947,Ing.,Fil2,01APR1996,Male,Married
1000566,11JUL1976,,Fil1,01JUL1999,Male,Married
1000569,25MAY1961,Mag.,Fil2,01FEB2002,Male,Single
1000570,10MAY1969,,Fil4,01APR2001,Male,Married
1000571,11DEC1970,,Fil2,01JUN1996,Male,Single
1000572,25MAY1963,,Fil2,01OCT2000,Male,Single
1000573,13JUL1949,,Fil1,01NOV1972,Female,Single
1000574,28JUN1951,,Fil1,01JUN2000,Male,Single
1000575,03JAN1971,,Fil4,01SEP1999,Male,Married
1000578,17JAN1971,,Fil2,,Male,Divorce
1000579,21MAY1963,,Fil4,01NOV2003,Male,Single
1000580,10JUL1950,,Fil2,01FEB1997,Female,Married
1000581,05JUL1960,,Fil1,01MAR1977,Male,Divorce
1000583,02FEB1960,,Fil1,01OCT2000,Male,Married
1000584,04NOV1963,,Fil1,01AUG2000,Male,Single
1000585,24NOV1942,,Fil4,01AUG1996,Male,Single
1000586,29APR1955,,Fil1,01JAN2000,Male,Married
1000589,08JUN1953,Ing.,Fil1,01MAR1995,Female,Married
1000591,23SEP1948,,Fil2,01APR2000,Male,Married
1000593,09OCT1969,Ing.,Fil2,01JUN1999,Male,Single
1000594,19MAR1984,,Fil4,01MAR1993,Male,Married
1000595,28JUN1945,,Fil1,01AUG1993,Male,Single
1000596,15MAY1967,,Fil1,01APR1993,Male,Married
1000599,25SEP1974,,Fil2,01JUN1996,Female,Married
1000601,17OCT1961,,Fil4,01DEC1999,Male,Married
1000602,28MAY1962,,Fil3,01MAY2000,Female,Single
1000603,16NOV1959,,Fil2,01AUG1993,Male,Single
1000604,02APR1953,,Fil2,01JUL1992,Male,Divorce
1000607,12JAN1963,,Fil3,01AUG1999,Female,Divorce
1000608,27FEB1954,,Fil2,01APR1993,Male,Single
1000609,29JUN1969,,Fil3,01MAY1996,Male,Married
1000611,06DEC1960,,Fil4,01DEC1999,Male,Single
1000614,05MAY1983,,Fil2,01NOV1982,Male,Married
1000616,28JAN1973,Mag.,Fil2,01OCT1997,Female,Single
1000617,10FEB1963,,Fil1,01DEC1992,Male,Single
1000618,15FEB1970,,Fil2,01MAY1996,Male,Married
1000620,02APR1968,,Fil1,01NOV2002,Female,Married
1000621,10MAY1958,DI.,Fil1,01SEP1994,Male,Married
1000622,22APR1980,,Fil2,01JUN2003,Male,Married
1000623,26AUG1978,Mag.,Fil2,01JAN1996,Female,Single
1000625,24DEC1962,,Fil2,01MAR1998,Female,Single
1000627,08JAN1953,Dr.,Fil4,01SEP2000,Male,Married
1000631,02AUG1952,,Fil3,01MAR2001,Male,Married
1000634,,,Fil1,01FEB1998,Male,Single
1000638,04MAY1966,,Fil1,01SEP2000,Male,Married
1000640,02FEB1953,,Fil1,01OCT1977,Male,Single
1000641,26NOV1957,,Fil4,01APR1996,Female,Married
1000642,16JAN1969,,Fil2,01MAY2000,Male,Single
1000643,12JAN1956,,Fil2,01JAN1996,Male,Single
1000644,02MAY1972,,Fil2,01MAR2000,Male,Married
1000649,11JAN1931,,Fil4,01AUG2000,Male,Single
1000650,02OCT1956,,Fil2,01OCT1989,Female,Married
1000652,09MAR1953,,Fil2,01NOV2001,Female,Divorce
1000653,14NOV1952,Dr.,Fil1,01NOV1997,Male,Married
1000654,19APR1957,,Fil2,01SEP1974,Male,Married
1000658,29NOV1955,,Fil2,01FEB1996,Male,Married
1000662,06DEC1975,Mag.,Fil4,01DEC1991,Female,Single
1000663,11OCT1949,,Fil4,01JUL1995,Male,Single
1000664,06NOV1943,,Fil2,01AUG2002,Female,Married
1000665,04DEC1970,,Fil2,01MAY1999,Male,Married
1000666,13SEP1954,,Fil2,01APR1996,Male,Single
1000667,05DEC1936,,Fil1,01APR1993,Male,Single
1000669,04SEP1961,,Fil2,01SEP1998,Female,Married
1000671,02SEP1944,Ing.,Fil1,01APR1995,Female,Married
1000674,15DEC1958,,Fil2,01FEB1999,Female,Married
1000675,23FEB1963,,Fil2,01SEP1999,Female,Married
1000677,22FEB1943,,Fil4,01AUG1996,Female,Married
1000679,29JUN1966,,Fil3,01MAY1997,Male,Married
1000680,26JAN1954,,Fil2,01JUL2000,Male,Single
1000681,24MAR1936,,Fil4,01FEB2000,Male,Divorce
1000684,01NOV1958,,Fil1,01FEB1993,Female,Married
1000692,30SEP1950,,Fil2,01APR1998,Male,Married
1000695,04JUN1969,Mag.,Fil2,01JUL1999,Male,Married
1000697,06MAR1964,,Fil1,01FEB2000,Male,Married
1000699,27JAN1955,,Fil1,01NOV1996,Female,Married
1000700,28JAN1977,,Fil1,01OCT1993,Male,Divorce
1000701,01JAN1952,,Fil2,01AUG1991,Female,Single
1000702,31AUG1968,,Fil2,01MAR2000,Male,Married
1000703,25MAR1966,,Fil4,01FEB1995,Male,Single
1000704,08MAY1954,,Fil2,01JUN1999,Female,Single
1000705,02MAY1949,,Fil4,01FEB1999,Male,Married
1000706,02NOV1973,,Fil1,01DEC1996,Male,Single
1000708,22JUL1957,Ing.,Fil2,01NOV1996,Female,Single
1000709,10OCT1954,DI.,Fil2,01MAY1990,Female,Married
1000710,22APR1960,,Fil4,01JUN2000,Male,Married
1000712,08JAN1968,,Fil1,01APR1998,Male,Married
1000713,30JUL1958,,Fil1,01MAY2001,Male,Married
1000714,24AUG1968,Ing.,Fil2,01AUG1977,Male,Single
1000717,,,Fil2,01NOV1999,Male,Single
1000721,22JUN1969,,Fil4,01JUN1999,Male,Single
1000723,29JUL1963,,Fil2,01DEC2000,Male,Single
1000725,14MAR1965,,Fil1,01APR2001,Female,Single
1000726,14AUG1950,,Fil2,01APR1999,Male,Married
1000728,26JUN1968,,Fil2,01JUL1995,Male,Single
1000729,01JAN1975,Mag.,Fil1,01FEB2002,Male,Single
1000730,01JUL1962,,Fil1,01SEP2000,Female,Single
1000731,29JAN1959,Mag.,Fil2,01MAR2003,Male,Married
1000732,05AUG1961,,Fil1,01OCT2001,Male,Single
1000735,12JAN1972,,Fil2,01APR1996,Female,Single
1000736,11JUL1961,,Fil4,01SEP1999,Male,Single
1000738,31MAY1964,,Fil1,01JAN1995,Male,Single
1000739,12AUG1934,Ing.,Fil4,01AUG2001,Male,Single
1000740,29SEP1962,,Fil4,01AUG1993,Female,Single
1000741,10JUL1955,,Fil2,01JUN2002,Female,Married
1000742,04APR1952,,Fil4,01OCT2000,Female,Single
1000743,20JUN1960,,Fil1,01DEC1984,Female,Married
1000744,14SEP1961,,Fil2,01FEB1999,Male,Divorce
1000745,18APR1962,,Fil2,01MAY1995,Male,Married
1000747,06NOV1957,,Fil2,01DEC2000,Male,Single
1000751,29APR1961,,Fil1,01FEB1996,Male,Married
1000752,27OCT1963,,Fil4,01OCT2000,Male,Single
1000753,17MAY1955,,Fil4,01AUG1997,Male,Married
1000754,28APR1958,DI.,Fil1,01MAR1999,Male,Married
1000756,09JUL1976,,Fil2,01OCT1997,Male,Divorce
1000759,12MAR1970,DI.,Fil2,01DEC1995,Female,Married
1000761,19DEC1951,,Fil4,01NOV2002,Male,Married
1000762,11JAN1984,,Fil1,01OCT2000,Female,Single
1000767,06FEB1977,,Fil1,01JAN1999,Male,Married
1000768,11FEB1960,,Fil2,01NOV1995,Male,Married
